team,abbr,city,province,primary_color,secondary_color
Acadia Axemen,ACA,Wolfville,NS,Red,Blue
Algoma Thunderbirds,ALG,Sault Ste. Marie,ON,Red,White
Alberta Golden Bears,ALB,Edmonton,AB,Green,Gold
Bishop's Gaiters,BIS,Sherbrooke,QC,Purple,White
Brandon Bobcats,BRA,Brandon,MB,Blue,Gold
Brock Badgers,BRO,St. Catharines,ON,Red,Blue
Calgary Dinos,CGY,Calgary,AB,Red,Gold
Cape Breton Capers,CBR,Sydney,NS,Orange,Green
Carleton Ravens,CAR,Ottawa,ON,Black,Red
Concordia Stingers,CON,Montreal,QC,Maroon,Gold
Dalhousie Tigers,DAL,Halifax,NS,Black,Gold
Guelph Gryphons,GUE,Guelph,ON,Red,Gold
Lakehead Thunderwolves,LAK,Thunder Bay,ON,Blue,Gold
Laurentian Voyageurs,LAU,Sudbury,ON,Blue,Gold
Laval Rouge et Or,LAV,Quebec City,QC,Red,Gold
Lethbridge Pronghorns,LET,Lethbridge,AB,Blue,White
MacEwan Griffins,MCE,Edmonton,AB,Maroon,White
McGill Redbirds,MCG,Montreal,QC,Red,White
McMaster Marauders,MCM,Hamilton,ON,Maroon,Grey
Memorial Sea-Hawks,SEA,St. John's,NL,Red,White
Mount Royal University Cougars,MRU,Calgary,AB,Blue,White
Manitoba Bisons,MAN,Winnipeg,MB,Brown,Gold
Nipissing Lakers,NIP,North Bay,ON,Green,Blue
Ontario Tech Ridgebacks,ONT,Oshawa,ON,Blue,Orange
Ottawa Gee-Gees,OTT,Ottawa,ON,Garnet,Grey
UPEI Panthers,UPEI,Charlottetown,PE,Green,Black
Queen's Gaels,QUE,Kingston,ON,Blue,Gold
Regina Cougars,REG,Regina,SK,Green,Gold
StFX X-Men,STX,Antigonish,NS,Blue,White
Saint Mary's Huskies,SMU,Halifax,NS,Maroon,White
Saskatchewan Huskies,SAS,Saskatoon,SK,Green,White
Toronto Varsity Blues,TOR,Toronto,ON,Blue,White
TMU Bold,TMU,Toronto,ON,Blue,Gold
Thompson Rivers WolfPack,TRU,Kamloops,BC,Orange,Black
Trinity Western Spartans,TWU,Langley,BC,Blue,Gold
UBC Thunderbirds,UBC,Vancouver,BC,Blue,Gold
UBC Okanagan Heat,OKA,Kelowna,BC,Blue,Gold
UFV Cascades,UFV,Abbotsford,BC,Green,Black
UNB Reds,UNB,Fredericton,NB,Red,Black
UNBC Timberwolves,UNC,Prince George,BC,Green,Gold
UQAM Citadins,UQA,Montreal,QC,Light Blue,Dark Blue
Victoria Vikes,VIU,Victoria,BC,Blue,Yellow
Waterloo Warriors,WAT,Waterloo,ON,Black,Gold
Western Mustangs,WES,London,ON,Purple,White
Wilfrid Laurier Golden Hawks,WLH,Waterloo,ON,Purple,Gold
Windsor Lancers,WIN,Windsor,ON,Navy Blue,Gold
Winnipeg Wesmen,WWM,Winnipeg,MB,Red,White
York Lions,YOR,Toronto,ON,Red,White